"DATE = 01/31/2022, 21:52:14"
BATCH_SIZE = 32
EPOCHS = 5
NB_ITERATIONS = 1
DATA_TYPE = Image
DATASET_PATH = ['dataset/img.npz']
MODEL_CLASS = <class 'imageModel.ImageModel'>
MODEL_DIR = saved_model/img_model
"INPUT_SHAPE = (200, 200, 3)"
epochs,loss,accuracy,val_loss,val_accuracy
0,2.414616107940674,0.17930132150650024,2.7380928993225098,0.14957265555858612
1,2.3958139419555664,0.18528737127780914,2.4542694091796875,0.18867520987987518
2,2.3737540245056152,0.19459383189678192,2.499002695083618,0.1705128252506256
3,2.353713274002075,0.20235700905323029,2.6508915424346924,0.1606837660074234
4,2.338505268096924,0.21068137884140015,2.6092593669891357,0.17200854420661926
